Country,Knot_date_1,Knot_date_2,N_knots,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Intercept_1,Intercept_2,Intercept_3,Pois_dev_inc,Pois_dev_cum,BIC,Prob_unequal,N_unequal
Albania,2020-03-11,2020-03-13,1,1.0492720659432635,1.0236018549905976,NA,0.6886003802492406,0.005437006759670442,NA,2.1884491135064543,2.778863965417771,NA,576.0295118826929,5915.7918927888195,832.3973694706455,0.07064594119140663,1
Albania,2020-03-11,2020-03-23,1,1.0024980646595112,1.023956487715063,NA,0.16550236506201127,0.005845044636259836,NA,4.212285279552032,2.3024856276079175,NA,578.9246478514417,6480.909302506711,832.3826083363496,0.06448581003855614,1
Albania,2020-03-11,2020-03-24,1,1.0164826126848376,1.0237828091483054,NA,0.13856162460572877,0.005961337686794452,NA,3.300278190456093,2.5410577582554374,NA,575.6170314519755,6296.337289399939,832.3961309146765,0.06637615917783668,1
Albania,2020-03-11,2020-03-25,1,1.025255870833752,1.0236038662123348,NA,0.11490417701645528,0.006100242040443602,NA,2.5838476464914932,2.7870442149258126,NA,571.4334054209087,6186.031564111914,832.39854095252565,0.06755974033225903,1
Albania,2020-03-11,2020-03-26,1,1.0159513173893833,1.023901274876097,NA,0.09271190034403154,0.006137308930215288,NA,3.5382465770139144,2.3775527839537247,NA,579.531614299469,6303.639282511133,832.3919940812907,0.06629927053695128,1
Albania,2020-03-11,NA,0,1.0236482800451678,NA,NA,0.005349017179221947,NA,NA,2.732130807983728,NA,NA,572.5348585230555,6205.607334464091,827.6892200832874,0.0673466211497977,1
Albania,2020-03-24,NA,1,1.0164826126848376,1.0237828091483054,NA,0.13856162460572877,0.005961337686794452,NA,3.300278190456093,2.5410577582554374,NA,579.2922988187916,7965.266473236223,832.3961309146765,0.052468638376734544,1
Albania,2020-03-25,NA,1,1.025255870833752,1.0236038662123348,NA,0.11490417701645528,0.006100242040443602,NA,2.5838476464914932,2.7870442149258126,NA,576.4062138345506,5978.784378695754,832.39854095252565,0.06990161539321611,1
Albania,2020-03-27,2020-03-28,2,1.0621357886558533,0.45316440194418417,1.0260447981823093,0.05511295505577151,0.7227318526582543,0.005969664481134804,0,105.96102128783045,-0.5947324124608127,545.5876671093093,5205.104252461304,831.9930347147941,0.08029170327586366,2
Albania,2020-04-05,2020-04-08,2,1.079511698714522,0.5459749239453029,1.0314030598757535,0.025966432391385665,0.18050666294260825,0.005457267205255776,0,177.66774599814988,-8.251230063212674,427.4602169983918,1059.0490088680247,826.5331142565377,0.39462450052737813,8
Andorra,2020-03-21,NA,1,1.4166842152687824,0.9580352496529242,NA,0.06460053515556445,0.005568412511780589,NA,1.7995414616346936,36.19821388282406,NA,2189.8555208967946,151185.47832557777,922.349288684732,0.0013710973034321732,2
Andorra,2020-03-22,NA,1,1.3680453944777287,0.9557230455130223,NA,0.05282043107490981,0.005482215648925307,NA,1.650492868678137,37.93485957757229,NA,1094.068703675128,59720.710456498564,919.3803123368929,0.0034709902153842597,5
Andorra,2020-03-23,NA,1,1.2981436380679723,0.9518936690325788,NA,0.038871096214121485,0.005410226494034514,NA,1.6912860683906543,40.81753256939011,NA,406.4072010126561,213.53214668135277,915.4433230207784,0.9707671883223992,1463
Andorra,2020-03-24,NA,1,1.2585065686516785,0.9490389535483705,NA,0.03194901213829325,0.005417743010052012,NA,1.8110729324614065,42.97026574120136,NA,591.5835576020013,13376.405026527415,912.5934797054408,0.015496689973069437,23
Andorra,2020-03-25,NA,1,1.211183654652258,0.9452741166024277,NA,0.025395507358557456,0.005604064084215186,NA,2.2088699468776665,45.81803418704987,NA,1251.1641721827996,63950.91950125352,910.3343717218332,0.003241392043569285,5
Andorra,2020-03-26,NA,1,1.184283072703841,0.9423901591790617,NA,0.022175258287504745,0.005833511553719533,NA,2.5277869581032086,48.0036547007617,NA,1724.1116956301314,100243.00836887328,909.0686474975703,0.002067874907420168,3
Andorra,2020-03-27,NA,1,1.1518833131205655,0.9385649544553212,NA,0.01945003964680913,0.00649053018117745,NA,3.12886098130275,50.91217332231746,NA,2507.3531460073814,159948.3720054697,909.2695639234383,0.0012959806908395064,2
Andorra,2020-03-28,NA,1,1.1196661688614886,0.9355384978591754,NA,0.017443939635984927,0.00749136008090361,NA,4.074768642570092,53.236856800187695,NA,3425.290470037785,229705.56651350146,913.0320759226772,9.024161007352822e-4,1
Andorra,2020-03-29,NA,1,1.0946755389722247,0.9337754523637448,NA,0.016215871018632172,0.008670885360980006,NA,5.0582788588162035,54.61550553422802,NA,4184.5480183556065,286890.8639190152,917.6843734772406,7.225395706878197e-4,1
Andorra,2020-03-30,NA,1,1.082375716087765,0.9324077018559492,NA,0.01563828180037563,0.009549746623921952,NA,5.593881955457655,55.68319870888408,NA,4527.051599222523,312263.27404931904,919.7815652798133,6.6383087246297e-4,1
Austria,2020-03-14,2020-03-24,2,1.3282294227770208,1.1883343534378916,0.9222808285785548,0.047891430381075885,0.009327890033044076,0.0023389697152398354,0,70.50711494692115,1260.830585167594,1159.573537355231,10273.784038305203,1007.6881387411095,0.014402646692598315,2
Austria,2020-03-15,2020-03-25,2,1.3606449020026974,1.1408970008947406,0.9182767221059331,0.04069105689263765,0.008798645993070566,0.0028165457227930135,0,143.93487522571172,1320.0378080669811,1285.4588054116962,21666.97527240786,1015.6656866316796,0.006829272652939243,1
